company_id,cluster_id,cluster_name,distance_from_centroid
ABB,1,Turnaround Watch,1.1480232689593248
ADANIENSOL,4,Defensive Dividend Payers,1.240342005504619
ADANIENT,4,Defensive Dividend Payers,0.9449000385587929
ADANIGREEN,0,Emerging Growth,2.0801650976491834
ADANIPORTS,2,Value Cyclicals,1.239384775703623
ADANIPOWER,3,High-Quality Compounders,1.0605534702897832
AMBUJACEM,1,Turnaround Watch,0.8970166968164521
APOLLOHOSP,4,Defensive Dividend Payers,0.7105552123071844
ASIANPAINT,4,Defensive Dividend Payers,1.1835896344555163
ATGL,4,Defensive Dividend Payers,0.784293872837698
AXISBANK,0,Emerging Growth,1.1521887119717167
BAJAJ-AUTO,1,Turnaround Watch,0.7002980775441521
BAJAJFINSV,0,Emerging Growth,1.088348486609653
BAJAJHLDNG,2,Value Cyclicals,1.9405546285182336
BAJFINANCE,0,Emerging Growth,1.6735247174245977
BANKBARODA,0,Emerging Growth,1.3325674895714663
BEL,3,High-Quality Compounders,1.2779450000237433
BHARTIARTL,2,Value Cyclicals,1.6255347519382197
BHEL,1,Turnaround Watch,1.4927883284461887
BOSCHLTD,1,Turnaround Watch,0.6477743437797381
BPCL,3,High-Quality Compounders,1.6706691323541922
BRITANNIA,3,High-Quality Compounders,0.8837842047042336
CANBK,0,Emerging Growth,2.4693813538612104
CHOLAFIN,0,Emerging Growth,1.2937970343828027
CIPLA,2,Value Cyclicals,1.303741385985677
COALINDIA,3,High-Quality Compounders,1.694832626577013
DABUR,1,Turnaround Watch,0.42343018640681335
DIVISLAB,1,Turnaround Watch,0.6010795035949871
DLF,1,Turnaround Watch,1.3483844407332264
DMART,4,Defensive Dividend Payers,0.7213990269007995
DRREDDY,1,Turnaround Watch,0.9371776433607073
EICHERMOT,1,Turnaround Watch,0.7686213661953641
GAIL,1,Turnaround Watch,0.7909607511570084
GODREJCP,1,Turnaround Watch,0.9106263671991778
GRASIM,0,Emerging Growth,2.4141032199649297
HAL,3,High-Quality Compounders,1.195827314160036
HAVELLS,4,Defensive Dividend Payers,0.9962542830380499
HCLTECH,1,Turnaround Watch,1.0727746380352403
HDFCBANK,2,Value Cyclicals,3.031852079995713
HDFCLIFE,2,Value Cyclicals,1.6274510084674911
HEROMOTOCO,2,Value Cyclicals,2.3589461135450773
HINDALCO,2,Value Cyclicals,1.0240103138845893
HINDUNILVR,2,Value Cyclicals,1.2575507409533695
ICICIBANK,2,Value Cyclicals,2.1349314486393447
ICICIGI,2,Value Cyclicals,1.0851519716205675
ICICIPRULI,2,Value Cyclicals,1.1827229272828972
INDIGO,3,High-Quality Compounders,2.494638185697057
INDUSINDBK,0,Emerging Growth,0.8488857342357343
INFY,1,Turnaround Watch,1.4909635908917485
IOC,1,Turnaround Watch,2.0349682132434235
IRCTC,4,Defensive Dividend Payers,1.2361176520292398
IRFC,2,Value Cyclicals,2.565233153145214
ITC,1,Turnaround Watch,1.2399913411626682
JINDALSTEL,1,Turnaround Watch,1.224450576943039
JIOFIN,2,Value Cyclicals,1.2369685970234008
JSWENERGY,1,Turnaround Watch,1.4247356067405512
JSWSTEEL,4,Defensive Dividend Payers,0.6591309250357742
KOTAKBANK,2,Value Cyclicals,0.9543170385186507
LICI,3,High-Quality Compounders,1.3109189447204264
LODHA,1,Turnaround Watch,1.2525973122535872
LT,3,High-Quality Compounders,1.1179455702651948
LTIM,4,Defensive Dividend Payers,1.121798379729975
M&M,1,Turnaround Watch,1.3005017478451544
MARUTI,1,Turnaround Watch,0.5670672683656179
MOTHERSON,1,Turnaround Watch,0.6846523244340037
NAUKRI,4,Defensive Dividend Payers,1.0494475267520798
NESTLEIND,3,High-Quality Compounders,1.2713291983216397
NHPC,1,Turnaround Watch,1.6264837548817654
NTPC,1,Turnaround Watch,0.8799145564632244
ONGC,1,Turnaround Watch,1.9383363724797031
PFC,0,Emerging Growth,1.5630952986777154
PIDILITIND,1,Turnaround Watch,0.8007342953164104
PNB,0,Emerging Growth,2.7076205099017376
POWERGRID,2,Value Cyclicals,1.8625025076046304
RECLTD,0,Emerging Growth,2.169443035225615
RELIANCE,1,Turnaround Watch,1.9750742869448854
SBILIFE,4,Defensive Dividend Payers,1.2202890873074277
SBIN,1,Turnaround Watch,1.9923332273979752
SHREECEM,1,Turnaround Watch,0.6840420238106123
SHRIRAMFIN,0,Emerging Growth,1.0875376623289597
SIEMENS,1,Turnaround Watch,0.7217924009517075
SUNPHARMA,1,Turnaround Watch,0.6021176803848637
TATACONSUM,4,Defensive Dividend Payers,0.8466263611815674
TATAMOTORS,3,High-Quality Compounders,2.041271894579599
TATAPOWER,4,Defensive Dividend Payers,0.6856952619158393
TATASTEEL,1,Turnaround Watch,0.8641409856602944
TCS,3,High-Quality Compounders,1.493205238720097
TECHM,1,Turnaround Watch,0.6917392588466638
TITAN,4,Defensive Dividend Payers,1.3220229792650184
TORNTPHARM,1,Turnaround Watch,0.7131229242493161
TRENT,4,Defensive Dividend Payers,1.524415419056421
TVSMOTOR,4,Defensive Dividend Payers,1.5315547504419558
