table,key,source_id,reason
profitandloss,"company_id=ADANIPORTS, year=2013-03",133,"duplicate primary key - kept first occurrence, rejected this row"
profitandloss,"company_id=ADANIPORTS, year=2014-03",134,"duplicate primary key - kept first occurrence, rejected this row"
profitandloss,"company_id=ADANIPORTS, year=2015-03",135,"duplicate primary key - kept first occurrence, rejected this row"
profitandloss,"company_id=ADANIPORTS, year=2016-03",136,"duplicate primary key - kept first occurrence, rejected this row"
profitandloss,"company_id=ADANIPORTS, year=2017-03",137,"duplicate primary key - kept first occurrence, rejected this row"
profitandloss,"company_id=ADANIPORTS, year=2018-03",138,"duplicate primary key - kept first occurrence, rejected this row"
profitandloss,"company_id=ADANIPORTS, year=2019-03",139,"duplicate primary key - kept first occurrence, rejected this row"
profitandloss,"company_id=ADANIPORTS, year=2020-03",140,"duplicate primary key - kept first occurrence, rejected this row"
profitandloss,"company_id=ADANIPORTS, year=2021-03",141,"duplicate primary key - kept first occurrence, rejected this row"
profitandloss,"company_id=ADANIPORTS, year=2022-03",142,"duplicate primary key - kept first occurrence, rejected this row"
profitandloss,"company_id=ADANIPORTS, year=2023-03",143,"duplicate primary key - kept first occurrence, rejected this row"
profitandloss,"company_id=ADANIPORTS, year=2024-03",144,"duplicate primary key - kept first occurrence, rejected this row"
profitandloss,"company_id=ADANIPORTS, year=TTM",145,"duplicate primary key - kept first occurrence, rejected this row"
balancesheet,"company_id=ASIANPAINT, year=2013-03",266,"duplicate primary key - kept first occurrence, rejected this row"
balancesheet,"company_id=ASIANPAINT, year=2014-03",267,"duplicate primary key - kept first occurrence, rejected this row"
balancesheet,"company_id=ASIANPAINT, year=2015-03",268,"duplicate primary key - kept first occurrence, rejected this row"
balancesheet,"company_id=ASIANPAINT, year=2016-03",269,"duplicate primary key - kept first occurrence, rejected this row"
balancesheet,"company_id=ASIANPAINT, year=2017-03",270,"duplicate primary key - kept first occurrence, rejected this row"
balancesheet,"company_id=ASIANPAINT, year=2018-03",271,"duplicate primary key - kept first occurrence, rejected this row"
balancesheet,"company_id=ASIANPAINT, year=2019-03",272,"duplicate primary key - kept first occurrence, rejected this row"
balancesheet,"company_id=ASIANPAINT, year=2020-03",273,"duplicate primary key - kept first occurrence, rejected this row"
balancesheet,"company_id=ASIANPAINT, year=2021-03",274,"duplicate primary key - kept first occurrence, rejected this row"
balancesheet,"company_id=ASIANPAINT, year=2022-03",275,"duplicate primary key - kept first occurrence, rejected this row"
balancesheet,"company_id=ASIANPAINT, year=2023-03",276,"duplicate primary key - kept first occurrence, rejected this row"
balancesheet,"company_id=ASIANPAINT, year=2024-03",277,"duplicate primary key - kept first occurrence, rejected this row"
balancesheet,"company_id=ASIANPAINT, year=2024-09",278,"duplicate primary key - kept first occurrence, rejected this row"
balancesheet,"company_id=PNB, year=2013-03",1087,"duplicate primary key - kept first occurrence, rejected this row"
balancesheet,"company_id=PNB, year=2014-03",1088,"duplicate primary key - kept first occurrence, rejected this row"
balancesheet,"company_id=PNB, year=2015-03",1089,"duplicate primary key - kept first occurrence, rejected this row"
