table,source_rows,loaded_rows,rejected_rows,status,note,loaded_at
companies,92,92,0,OK,,2026-07-18T19:12:26
profitandloss,1276,1164,112,OK,,2026-07-18T19:12:26
balancesheet,1312,1140,172,OK,,2026-07-18T19:12:26
cashflow,1187,1056,131,OK,,2026-07-18T19:12:26
analysis,20,16,4,OK,,2026-07-18T19:12:26
documents,1585,1457,128,OK,,2026-07-18T19:12:26
prosandcons,16,14,2,OK,,2026-07-18T19:12:26
sectors,92,92,0,OK,,2026-07-18T19:12:26
stock_prices,5520,5520,0,OK,,2026-07-18T19:12:27
market_cap,552,552,0,OK,,2026-07-18T19:12:27
financial_ratios,1184,1041,143,OK,,2026-07-18T19:12:27
peer_groups,56,56,0,OK,,2026-07-18T19:12:27
