company_id,year,category,detail
ABB,2012-12,ICR_DEBT_FREE,interest=0.0
ABB,2014-03,ICR_DEBT_FREE,interest=0.0
ABB,2015-03,ICR_DEBT_FREE,interest=0.0
ADANIENSOL,2014-03,ICR_DEBT_FREE,interest=0.0
ADANIENSOL,2018-03,CAGR_TURNAROUND,field=net_profit,window=3yr
ADANIENSOL,2020-03,CAGR_TURNAROUND,field=net_profit,window=5yr
ADANIENSOL,2024-03,OPM_CROSSCHECK_MISMATCH,source=30.0,computed=34.39
ADANIGREEN,2021-03,CAGR_TURNAROUND,field=net_profit,window=3yr
ADANIGREEN,2021-03,CAGR_TURNAROUND,field=eps,window=3yr
ADANIGREEN,2022-03,CAGR_TURNAROUND,field=net_profit,window=3yr
ADANIGREEN,2022-03,CAGR_TURNAROUND,field=net_profit,window=5yr
ADANIGREEN,2022-03,CAGR_TURNAROUND,field=eps,window=3yr
ADANIGREEN,2023-03,CAGR_TURNAROUND,field=net_profit,window=3yr
ADANIGREEN,2023-03,CAGR_TURNAROUND,field=net_profit,window=5yr
ADANIGREEN,2023-03,CAGR_TURNAROUND,field=eps,window=5yr
ADANIGREEN,2024-03,CAGR_TURNAROUND,field=net_profit,window=5yr
ADANIGREEN,2024-03,CAGR_TURNAROUND,field=eps,window=5yr
ADANIPOWER,2016-03,CAGR_TURNAROUND,field=net_profit,window=3yr
ADANIPOWER,2016-03,CAGR_TURNAROUND,field=eps,window=3yr
ADANIPOWER,2019-03,CAGR_DECLINE_TO_LOSS,field=net_profit,window=3yr
ADANIPOWER,2019-03,CAGR_DECLINE_TO_LOSS,field=eps,window=3yr
ADANIPOWER,2021-03,CAGR_TURNAROUND,field=net_profit,window=3yr
ADANIPOWER,2021-03,CAGR_TURNAROUND,field=eps,window=3yr
ADANIPOWER,2022-03,CAGR_TURNAROUND,field=net_profit,window=3yr
ADANIPOWER,2022-03,CAGR_TURNAROUND,field=net_profit,window=5yr
ADANIPOWER,2022-03,CAGR_TURNAROUND,field=eps,window=3yr
ADANIPOWER,2022-03,CAGR_TURNAROUND,field=eps,window=5yr
ADANIPOWER,2023-03,CAGR_TURNAROUND,field=net_profit,window=3yr
ADANIPOWER,2023-03,CAGR_TURNAROUND,field=net_profit,window=5yr
ADANIPOWER,2023-03,CAGR_TURNAROUND,field=net_profit,window=10yr
ADANIPOWER,2023-03,CAGR_TURNAROUND,field=eps,window=3yr
ADANIPOWER,2023-03,CAGR_TURNAROUND,field=eps,window=5yr
ADANIPOWER,2023-03,CAGR_TURNAROUND,field=eps,window=10yr
ADANIPOWER,2024-03,CAGR_TURNAROUND,field=net_profit,window=5yr
ADANIPOWER,2024-03,CAGR_TURNAROUND,field=net_profit,window=10yr
ADANIPOWER,2024-03,CAGR_TURNAROUND,field=eps,window=5yr
ADANIPOWER,2024-03,CAGR_TURNAROUND,field=eps,window=10yr
AXISBANK,2013-03,OPM_CROSSCHECK_MISMATCH,source=1353.0,computed=30.58
AXISBANK,2014-03,OPM_CROSSCHECK_MISMATCH,source=2307.0,computed=31.47
AXISBANK,2015-03,OPM_CROSSCHECK_MISMATCH,source=3097.0,computed=31.36
AXISBANK,2016-03,OPM_CROSSCHECK_MISMATCH,source=3466.0,computed=32.61
AXISBANK,2017-03,OPM_CROSSCHECK_MISMATCH,source=-5715.0,computed=53.45
AXISBANK,2018-03,OPM_CROSSCHECK_MISMATCH,source=-10277.0,computed=63.12
AXISBANK,2019-03,OPM_CROSSCHECK_MISMATCH,source=-5447.0,computed=49.39
AXISBANK,2020-03,OPM_CROSSCHECK_MISMATCH,source=-9859.0,computed=55.98
AXISBANK,2021-03,OPM_CROSSCHECK_MISMATCH,source=-2510.0,computed=50.12
AXISBANK,2022-03,OPM_CROSSCHECK_MISMATCH,source=3170.0,computed=44.47
AXISBANK,2023-03,OPM_CROSSCHECK_MISMATCH,source=13857.0,computed=34.16
AXISBANK,2024-03,OPM_CROSSCHECK_MISMATCH,source=11952.0,computed=34.69
BAJAJHLDNG,2013-03,ICR_DEBT_FREE,interest=0.0
BAJAJHLDNG,2014-03,ICR_DEBT_FREE,interest=0.0
BAJAJHLDNG,2015-03,ICR_DEBT_FREE,interest=0.0
BAJAJHLDNG,2016-03,ICR_DEBT_FREE,interest=0.0
BAJAJHLDNG,2017-03,ICR_DEBT_FREE,interest=0.0
BAJAJHLDNG,2018-03,ICR_DEBT_FREE,interest=0.0
BAJAJHLDNG,2019-03,ICR_DEBT_FREE,interest=0.0
BAJFINANCE,2015-03,OPM_CROSSCHECK_MISMATCH,source=1367.0,computed=32.49
BAJFINANCE,2016-03,OPM_CROSSCHECK_MISMATCH,source=1986.0,computed=32.25
BAJFINANCE,2017-03,OPM_CROSSCHECK_MISMATCH,source=2867.0,computed=32.60
BAJFINANCE,2018-03,OPM_CROSSCHECK_MISMATCH,source=3935.0,computed=32.28
BAJFINANCE,2019-03,OPM_CROSSCHECK_MISMATCH,source=6310.0,computed=29.50
BAJFINANCE,2020-03,OPM_CROSSCHECK_MISMATCH,source=7608.0,computed=34.73
BAJFINANCE,2021-03,OPM_CROSSCHECK_MISMATCH,source=6314.0,computed=40.64
BAJFINANCE,2022-03,OPM_CROSSCHECK_MISMATCH,source=9906.0,computed=37.55
BAJFINANCE,2023-03,OPM_CROSSCHECK_MISMATCH,source=16018.0,computed=30.65
BAJFINANCE,2024-03,OPM_CROSSCHECK_MISMATCH,source=19987.0,computed=29.29
BANKBARODA,2013-03,OPM_CROSSCHECK_MISMATCH,source=1006.0,computed=30.05
BANKBARODA,2014-03,OPM_CROSSCHECK_MISMATCH,source=809.0,computed=29.78
BANKBARODA,2015-03,OPM_CROSSCHECK_MISMATCH,source=902.0,computed=29.98
BANKBARODA,2016-03,OPM_CROSSCHECK_MISMATCH,source=-11700.0,computed=55.44
BANKBARODA,2016-03,CAGR_DECLINE_TO_LOSS,field=net_profit,window=3yr
BANKBARODA,2016-03,CAGR_DECLINE_TO_LOSS,field=eps,window=3yr
BANKBARODA,2017-03,OPM_CROSSCHECK_MISMATCH,source=-4372.0,computed=43.28
BANKBARODA,2018-03,OPM_CROSSCHECK_MISMATCH,source=-9197.0,computed=56.65
BANKBARODA,2018-03,CAGR_DECLINE_TO_LOSS,field=net_profit,window=3yr
BANKBARODA,2018-03,CAGR_DECLINE_TO_LOSS,field=net_profit,window=5yr
BANKBARODA,2018-03,CAGR_DECLINE_TO_LOSS,field=eps,window=3yr
BANKBARODA,2018-03,CAGR_DECLINE_TO_LOSS,field=eps,window=5yr
BANKBARODA,2019-03,OPM_CROSSCHECK_MISMATCH,source=-5414.0,computed=48.79
BANKBARODA,2019-03,CAGR_TURNAROUND,field=net_profit,window=3yr
BANKBARODA,2019-03,CAGR_TURNAROUND,field=eps,window=3yr
BANKBARODA,2020-03,OPM_CROSSCHECK_MISMATCH,source=-11728.0,computed=51.44
BANKBARODA,2021-03,OPM_CROSSCHECK_MISMATCH,source=-6957.0,computed=51.23
BANKBARODA,2021-03,CAGR_TURNAROUND,field=net_profit,window=3yr
BANKBARODA,2021-03,CAGR_TURNAROUND,field=net_profit,window=5yr
BANKBARODA,2021-03,CAGR_TURNAROUND,field=eps,window=3yr
BANKBARODA,2021-03,CAGR_TURNAROUND,field=eps,window=5yr
BANKBARODA,2022-03,OPM_CROSSCHECK_MISMATCH,source=-2948.0,computed=51.12
BANKBARODA,2023-03,OPM_CROSSCHECK_MISMATCH,source=6329.0,computed=40.45
BANKBARODA,2023-03,CAGR_TURNAROUND,field=net_profit,window=5yr
BANKBARODA,2023-03,CAGR_TURNAROUND,field=eps,window=5yr
BANKBARODA,2024-03,OPM_CROSSCHECK_MISMATCH,source=4102.0,computed=37.49
BHARTIARTL,2020-03,CAGR_DECLINE_TO_LOSS,field=net_profit,window=3yr
BHARTIARTL,2020-03,CAGR_DECLINE_TO_LOSS,field=net_profit,window=5yr
BHARTIARTL,2020-03,CAGR_DECLINE_TO_LOSS,field=eps,window=3yr
BHARTIARTL,2020-03,CAGR_DECLINE_TO_LOSS,field=eps,window=5yr
BHARTIARTL,2021-03,CAGR_DECLINE_TO_LOSS,field=net_profit,window=3yr
BHARTIARTL,2021-03,CAGR_DECLINE_TO_LOSS,field=net_profit,window=5yr
BHARTIARTL,2021-03,CAGR_DECLINE_TO_LOSS,field=eps,window=3yr
BHARTIARTL,2021-03,CAGR_DECLINE_TO_LOSS,field=eps,window=5yr
BHARTIARTL,2023-03,CAGR_TURNAROUND,field=net_profit,window=3yr
BHARTIARTL,2023-03,CAGR_TURNAROUND,field=eps,window=3yr
BHARTIARTL,2024-03,CAGR_TURNAROUND,field=net_profit,window=3yr
BHARTIARTL,2024-03,CAGR_TURNAROUND,field=eps,window=3yr
BHEL,2016-03,CAGR_DECLINE_TO_LOSS,field=net_profit,window=3yr
BHEL,2016-03,CAGR_DECLINE_TO_LOSS,field=eps,window=3yr
BHEL,2019-03,CAGR_TURNAROUND,field=net_profit,window=3yr
BHEL,2019-03,CAGR_TURNAROUND,field=eps,window=3yr
BHEL,2020-03,CAGR_DECLINE_TO_LOSS,field=net_profit,window=3yr
BHEL,2020-03,CAGR_DECLINE_TO_LOSS,field=net_profit,window=5yr
BHEL,2020-03,CAGR_DECLINE_TO_LOSS,field=eps,window=3yr
BHEL,2020-03,CAGR_DECLINE_TO_LOSS,field=eps,window=5yr
BHEL,2021-03,CAGR_DECLINE_TO_LOSS,field=net_profit,window=3yr
BHEL,2021-03,CAGR_DECLINE_TO_LOSS,field=eps,window=3yr
BHEL,2023-03,CAGR_TURNAROUND,field=net_profit,window=3yr
BHEL,2023-03,CAGR_TURNAROUND,field=eps,window=3yr
BHEL,2024-03,CAGR_TURNAROUND,field=net_profit,window=3yr
BHEL,2024-03,CAGR_TURNAROUND,field=eps,window=3yr
BOSCHLTD,2013-12,ICR_DEBT_FREE,interest=0.0
CANBK,2013-03,OPM_CROSSCHECK_MISMATCH,source=655.0,computed=21.18
CANBK,2014-03,OPM_CROSSCHECK_MISMATCH,source=-672.0,computed=24.35
CANBK,2015-03,OPM_CROSSCHECK_MISMATCH,source=-621.0,computed=23.51
CANBK,2016-03,OPM_CROSSCHECK_MISMATCH,source=-8008.0,computed=40.38
CANBK,2016-03,CAGR_DECLINE_TO_LOSS,field=net_profit,window=3yr
CANBK,2016-03,CAGR_DECLINE_TO_LOSS,field=eps,window=3yr
